model,weight
CU-EKF_SEIRS,0.14454829875590394
CU-EKF_SIRS,0.024164048356519804
Delphi-DeltaDensity2,0.00039321991473058836
CU-BMA,0.011702806284529277
CU-EAKFC_SEIRS,0.043493817808998456
ReichLab-KDE,1.7508308683080418e-19
ReichLab-SARIMA1,1.109615665415359e-15
Delphi-BasisRegression,3.301414308594935e-154
Delphi-DeltaDensity1,0.03775246217047934
CU-RHF_SIRS,0.002637062841361148
CU-EAKFC_SIRS,0.03346149363247477
Delphi-Uniform,2.7280660194629675e-190
ReichLab-SARIMA2,0.05564107858878711
Delphi-Stat,1.6413187264303015e-12
Delphi-EmpiricalBayes1,0.00016360987562948022
Delphi-EmpiricalFuture,0.014963022811165788
Delphi-EmpiricalBayes2,7.049279267592413e-33
ReichLab-KCDE,0.36633325616275386
LANL-DBM,0.26128614020148855
CU-RHF_SEIRS,0.0034596825935364448
Delphi-EmpiricalTraj,5.710280265397061e-68
